,totals,.md-counts,.yaml-counts,.py-counts,.rst-counts,.txt-counts,.sh-counts,.patch-counts,.ninja-counts,.diff-counts,.md-percent,.yaml-percent,.py-percent,.rst-percent,.txt-percent,.sh-percent,.patch-percent,.ninja-percent,.diff-percent
           ,8424,1,1,8110,86,13,30,183,0,0,0.00011870845204178538,0.00011870845204178538,0.9627255460588794,0.010208926875593542,0.0015432098765432098,0.0035612535612535613,0.021723646723646725,0.0,0.0
lawrence,4103,0,1,4049,37,0,16,0,0,0,0.0,0.00024372410431391665,0.9868388983670485,0.009017791859614916,0.0,0.0038995856690226664,0.0,0.0,0.0
livermore,4108,0,1,4054,37,0,16,0,0,0,0.0,0.00024342745861733204,0.9868549172346641,0.009006815968841285,0.0,0.0038948393378773127,0.0,0.0,0.0
national,4119,0,1,4059,37,0,16,6,0,0,0.0,0.00024277737314882253,0.9854333576110706,0.008982762806506433,0.0,0.0038844379703811605,0.0014566642388929353,0.0,0.0
security,4146,0,1,4068,42,0,16,19,0,0,0.0,0.000241196333815726,0.9811866859623734,0.010130246020260492,0.0,0.003859141341051616,0.004582730342498794,0.0,0.0
llc,4104,0,1,4044,37,0,16,6,0,0,0.0,0.00024366471734892786,0.9853801169590644,0.009015594541910331,0.0,0.003898635477582846,0.0014619883040935672,0.0,0.0
and,13908,90,29,12158,1042,6,65,516,0,2,0.0064710957722174285,0.002085130859936727,0.8741731377624389,0.07492090882945067,0.0004314063848144953,0.004673569168823699,0.03710094909404659,0.0,0.0001438021282714984
other,5349,11,1,5087,178,2,21,49,0,0,0.002056459151243223,0.0001869508319312021,0.9510188820340251,0.03327724808375397,0.0003739016638624042,0.003925967470555244,0.009160590764628903,0.0,0.0
project,6223,15,3,5914,103,4,52,132,0,0,0.0024104129840912744,0.00048208259681825486,0.9503454925277197,0.016551502490760085,0.0006427767957576731,0.00835609834484975,0.021211634260003213,0.0,0.0
developers,4181,0,1,4086,73,0,16,5,0,0,0.0,0.00023917723032767282,0.9772781631188711,0.017459937813920114,0.0,0.003826835685242765,0.001195886151638364,0.0,0.0
see,4885,4,5,4637,163,0,24,52,0,0,0.0008188331627430911,0.0010235414534288639,0.9492323439099284,0.03336745138178096,0.0,0.004912998976458547,0.010644831115660185,0.0,0.0
the,25420,121,73,20355,3134,16,185,1525,4,7,0.0047600314712824545,0.002871754523996853,0.8007474429583006,0.12328874901652243,0.0006294256490952006,0.007277734067663257,0.05999213217938631,0.00015735641227380016,0.0002753737214791503
top,4343,1,1,4212,62,0,16,48,0,3,0.00023025558369790466,0.00023025558369790466,0.9698365185355745,0.01427584618927009,0.0,0.0036840893391664746,0.011052268017499424,0.0,0.000690766751093714
level,4836,2,1,4669,68,0,16,79,0,1,0.00041356492969396195,0.00020678246484698098,0.9654673283705542,0.014061207609594707,0.0,0.0033085194375516956,0.0163358147229115,0.0,0.00020678246484698098
file,8819,6,16,7946,340,5,97,400,0,9,0.0006803492459462524,0.0018142646558566731,0.9010091847148203,0.0385531239369543,0.0005669577049552103,0.010998979476131081,0.045356616396416825,0.0,0.0010205238689193787
for,16526,57,16,14633,980,3,81,750,0,6,0.0034491104925571826,0.0009681713663318407,0.8854532252208641,0.05930049618782524,0.00018153213118722014,0.004901367542054944,0.045383032796805035,0.0,0.0003630642623744403
details,4281,5,2,4179,61,0,20,14,0,0,0.00116795141322121,0.000467180565288484,0.9761737911702874,0.014249007241298762,0.0,0.00467180565288484,0.003270263957019388,0.0,0.0
spdx,4115,1,1,4060,37,0,16,0,0,0,0.00024301336573511544,0.00024301336573511544,0.9866342648845686,0.008991494532199272,0.0,0.003888213851761847,0.0,0.0,0.0
license,4639,11,1,4383,145,1,24,74,0,0,0.002371200689803837,0.0002155636990730761,0.9448156930372925,0.03125673636559603,0.0002155636990730761,0.005173528777753826,0.01595171373140763,0.0,0.0
identifier,4169,1,1,4105,41,0,16,5,0,0,0.00023986567522187575,0.00023986567522187575,0.9846485967858,0.009834492684096906,0.0,0.003837850803550012,0.0011993283761093788,0.0,0.0
   ,120555,120,184,102992,4694,220,406,11293,10,636,0.0009953962921488118,0.001526274314628178,0.8543154576749201,0.03893658496122102,0.0018248932022728215,0.00336775745510348,0.09367508606030442,8.294969101240098e-05,0.0052756003483887025
apache,4209,8,1,4133,38,0,16,13,0,0,0.001900688999762414,0.00023758612497030174,0.9819434545022571,0.009028272748871465,0.0,0.003801377999524828,0.0030886196246139226,0.0,0.0
     ,27903,18,33,24689,551,53,169,2343,1,46,0.0006450919255993979,0.0011826685302655628,0.8848152528401964,0.019746980611403793,0.001899437336487116,0.006056696412572125,0.08396946564885496,3.583844031107766e-05,0.0016485682543095725
or,7771,29,4,7023,390,10,34,273,0,8,0.003731823446145927,0.000514734268433921,0.9037446918028568,0.050186591172307296,0.0012868356710848024,0.004375241281688328,0.03513061382061511,0.0,0.001029468536867842
mit,4142,8,1,4078,37,2,16,0,0,0,0.001931434089811685,0.00024142926122646064,0.9845485272815065,0.008932882665379043,0.0004828585224529213,0.00386286817962337,0.0,0.0,0.0
generate,228,1,2,185,31,0,0,9,0,0,0.0043859649122807015,0.008771929824561403,0.8114035087719298,0.13596491228070176,0.0,0.0,0.039473684210526314,0.0,0.0
ci,104,8,4,48,8,0,34,2,0,0,0.07692307692307693,0.038461538461538464,0.46153846153846156,0.07692307692307693,0.0,0.3269230769230769,0.019230769230769232,0.0,0.0
jobs,211,3,1,172,13,0,10,12,0,0,0.014218009478672985,0.004739336492890996,0.8151658767772512,0.061611374407582936,0.0,0.04739336492890995,0.05687203791469194,0.0,0.0
bin,2480,1,0,2075,146,25,38,195,0,0,0.0004032258064516129,0.0,0.8366935483870968,0.05887096774193548,0.010080645161290322,0.01532258064516129,0.07862903225806452,0.0,0.0
gitlab,134,1,2,115,0,0,10,6,0,0,0.007462686567164179,0.014925373134328358,0.8582089552238806,0.0,0.0,0.07462686567164178,0.04477611940298507,0.0,0.0
sh,494,1,0,316,40,4,32,100,0,1,0.0020242914979757085,0.0,0.6396761133603239,0.08097165991902834,0.008097165991902834,0.06477732793522267,0.20242914979757085,0.0,0.0020242914979757085
pre,209,0,1,174,20,0,1,13,0,0,0.0,0.004784688995215311,0.8325358851674641,0.09569377990430622,0.0,0.004784688995215311,0.06220095693779904,0.0,0.0
when,6659,7,4,6433,137,0,6,70,2,0,0.0010512088902237572,0.0006006907944135756,0.966060970115633,0.020573659708664965,0.0,0.0009010361916203634,0.010512088902237574,0.0003003453972067878,0.0
always,201,1,2,144,34,0,1,19,0,0,0.004975124378109453,0.009950248756218905,0.7164179104477612,0.1691542288557214,0.0,0.004975124378109453,0.0945273631840796,0.0,0.0
only,1300,1,4,1039,141,1,4,110,0,0,0.0007692307692307692,0.003076923076923077,0.7992307692307692,0.10846153846153846,0.0007692307692307692,0.003076923076923077,0.08461538461538462,0.0,0.0
build,13014,31,7,11850,491,23,46,549,15,2,0.0023820500998924235,0.0005378822806208698,0.9105578607653296,0.03772859996926387,0.0017673274934685724,0.0035346549869371448,0.042185338865836794,0.001152604887044721,0.0001536806516059628
master,677,4,0,661,4,0,1,7,0,0,0.005908419497784343,0.0,0.9763663220088626,0.005908419497784343,0.0,0.0014771048744460858,0.0103397341211226,0.0,0.0
develop,856,10,0,735,93,0,18,0,0,0,0.011682242990654205,0.0,0.8586448598130841,0.10864485981308411,0.0,0.02102803738317757,0.0,0.0,0.0
on,18461,24,5,17704,476,3,22,227,0,0,0.0013000379177726016,0.000270841232869292,0.9589946373435891,0.0257840853691566,0.0001625047397215752,0.0011917014246248848,0.012296191972265858,0.0,0.0
push,130,1,0,94,9,0,7,19,0,0,0.007692307692307693,0.0,0.7230769230769231,0.06923076923076923,0.0,0.05384615384615385,0.14615384615384616,0.0,0.0
do,867,5,1,676,72,1,16,94,0,2,0.0057670126874279125,0.0011534025374855825,0.7797001153402537,0.08304498269896193,0.0011534025374855825,0.01845444059976932,0.10841983852364476,0.0,0.002306805074971165
not,6399,12,42,5628,306,3,23,384,0,1,0.001875293014533521,0.006563525550867323,0.8795124238162213,0.04781997187060478,0.00046882325363338024,0.0035943116111892483,0.06000937646507267,0.0,0.0001562744178777934
every,111,0,0,66,39,0,0,6,0,0,0.0,0.0,0.5945945945945946,0.35135135135135137,0.0,0.0,0.05405405405405406,0.0,0.0
branch,671,5,0,596,57,0,3,10,0,0,0.007451564828614009,0.0,0.8882265275707899,0.08494783904619971,0.0,0.004470938897168405,0.014903129657228018,0.0,0.0
dist,264,1,0,237,1,0,4,21,0,0,0.003787878787878788,0.0,0.8977272727272727,0.003787878787878788,0.0,0.015151515151515152,0.07954545454545454,0.0,0.0
fast,212,0,0,189,5,0,0,18,0,0,0.0,0.0,0.8915094339622641,0.02358490566037736,0.0,0.0,0.08490566037735849,0.0,0.0
true,3867,0,17,3646,34,0,12,151,7,0,0.0,0.004396172743728989,0.9428497543315232,0.008792345487457979,0.0,0.0031031807602792862,0.03904835790018102,0.0018101887768295836,0.0
stage,1489,4,7,1403,43,0,6,26,0,0,0.002686366689053056,0.0047011417058428475,0.9422431161853593,0.02887844190732035,0.0,0.004029550033579583,0.017461383478844864,0.0,0.0
style,562,0,0,544,7,3,0,8,0,0,0.0,0.0,0.9679715302491103,0.012455516014234875,0.005338078291814947,0.0,0.014234875444839857,0.0,0.0
checks,172,0,0,144,6,0,2,20,0,0,0.0,0.0,0.8372093023255814,0.03488372093023256,0.0,0.011627906976744186,0.11627906976744186,0.0,0.0
os,3913,4,6,3739,22,1,1,133,0,7,0.0010222335803731152,0.001533350370559673,0.9555328392537695,0.005622284692052134,0.0002555583950932788,0.0002555583950932788,0.03398926654740608,0.0,0.0017889087656529517
linux,1265,4,0,632,249,87,8,285,0,0,0.0031620553359683794,0.0,0.49960474308300395,0.19683794466403162,0.06877470355731226,0.006324110671936759,0.22529644268774704,0.0,0.0
language,225,2,3,182,12,0,0,24,0,2,0.008888888888888889,0.013333333333333334,0.8088888888888889,0.05333333333333334,0.0,0.0,0.10666666666666667,0.0,0.008888888888888889
python,4087,14,0,3647,336,0,17,73,0,0,0.0034254954734524103,0.0,0.8923415708343528,0.08221189136285784,0.0,0.004159530217763641,0.01786151211157328,0.0,0.0
env,3333,4,1,3072,55,4,91,106,0,0,0.0012001200120012002,0.00030003000300030005,0.9216921692169217,0.0165016501650165,0.0012001200120012002,0.027302730273027303,0.0318031803180318,0.0,0.0
suite,248,1,0,207,23,0,13,4,0,0,0.004032258064516129,0.0,0.8346774193548387,0.09274193548387097,0.0,0.05241935483870968,0.016129032258064516,0.0,0.0
flake,129,1,0,99,24,0,5,0,0,0,0.007751937984496124,0.0,0.7674418604651163,0.18604651162790697,0.0,0.03875968992248062,0.0,0.0,0.0
shell,336,1,0,185,31,3,20,96,0,0,0.002976190476190476,0.0,0.5505952380952381,0.09226190476190477,0.008928571428571428,0.05952380952380952,0.2857142857142857,0.0,0.0
with,7207,25,12,6352,494,10,29,284,0,1,0.003468849729429721,0.0016650478701262662,0.8813653392535036,0.0685444706535313,0.0013875398917718885,0.0040238656861384765,0.039406132926321634,0.0,0.00013875398917718884
module,2327,8,5,1943,210,2,60,94,0,5,0.0034379028792436614,0.0021486892995272885,0.8349806617963043,0.09024495058014612,0.0008594757198109154,0.02578427159432746,0.04039535883111302,0.0,0.0021486892995272885
files,1803,7,9,1452,167,5,5,156,2,0,0.003882418191902385,0.004991680532445923,0.8053244592346089,0.09262340543538547,0.0027731558513588465,0.0027731558513588465,0.08652246256239601,0.0011092623405435386,0.0
    ,49809,36,26,43207,992,139,267,4857,3,282,0.0007227609468168403,0.0005219940171454958,0.8674536730309783,0.01991607942339738,0.002790660322431689,0.005360477022224899,0.09751249774137204,6.023007890140336e-05,0.005661627416731916
bootstrap,135,1,0,95,20,1,0,18,0,0,0.007407407407407408,0.0,0.7037037037037037,0.14814814814814814,0.007407407407407408,0.0,0.13333333333333333,0.0,0.0
unit,160,5,0,86,46,0,2,21,0,0,0.03125,0.0,0.5375,0.2875,0.0,0.0125,0.13125,0.0,0.0
tests,998,8,0,786,99,5,10,80,10,0,0.008016032064128256,0.0,0.7875751503006012,0.09919839679358718,0.00501002004008016,0.01002004008016032,0.08016032064128256,0.01002004008016032,0.0
documentation,190,11,2,124,47,2,0,4,0,0,0.05789473684210526,0.010526315789473684,0.6526315789473685,0.24736842105263157,0.010526315789473684,0.0,0.021052631578947368,0.0,0.0
coverage,61,0,0,41,6,0,13,1,0,0,0.0,0.0,0.6721311475409836,0.09836065573770492,0.0,0.21311475409836064,0.01639344262295082,0.0,0.0
doc,506,0,0,424,13,1,0,68,0,0,0.0,0.0,0.8379446640316206,0.025691699604743084,0.001976284584980237,0.0,0.13438735177865613,0.0,0.0
generic,177,2,0,150,1,6,1,17,0,0,0.011299435028248588,0.0,0.847457627118644,0.005649717514124294,0.03389830508474576,0.005649717514124294,0.096045197740113,0.0,0.0
version,14622,18,8,13640,294,28,12,621,0,1,0.0012310217480508822,0.0005471207769115032,0.932840924634113,0.020106688551497744,0.0019149227191902613,0.0008206811653672548,0.04247025030775544,0.0,6.83900971139379e-05
      ,16031,14,5,13624,344,109,107,1784,0,44,0.0008733079658162311,0.00031189570207722537,0.8498534090200237,0.021458424302913105,0.006799326305283513,0.006674568024452623,0.11128438650115402,0.0,0.0027446821782795834
if,15730,12,17,13137,461,5,140,1948,1,9,0.0007628734901462174,0.001080737444373808,0.8351557533375715,0.02930705657978385,0.0003178639542275906,0.008900190718372537,0.1238397965670693,6.357279084551812e-05,0.0005721551176096631
type,11105,4,0,10631,96,8,8,358,0,0,0.00036019810895992794,0.0,0.9573165240882485,0.008644754615038271,0.0007203962179198559,0.0007203962179198559,0.03223773075191355,0.0,0.0
pull,113,2,0,85,22,0,1,3,0,0,0.017699115044247787,0.0,0.7522123893805309,0.19469026548672566,0.0,0.008849557522123894,0.02654867256637168,0.0,0.0
request,419,5,0,337,18,0,1,58,0,0,0.011933174224343675,0.0,0.8042959427207638,0.04295942720763723,0.0,0.002386634844868735,0.13842482100238662,0.0,0.0
mpich,653,0,1,540,98,2,1,11,0,0,0.0,0.0015313935681470138,0.8269525267993875,0.15007656967840735,0.0030627871362940277,0.0015313935681470138,0.016845329249617153,0.0,0.0
autotoolspackage,819,1,0,812,6,0,0,0,0,0,0.001221001221001221,0.0,0.9914529914529915,0.007326007326007326,0.0,0.0,0.0,0.0,0.0
spec,14731,22,27,14302,242,0,71,67,0,0,0.0014934491887855542,0.0018328694589640894,0.9708777408186817,0.016427941076641098,0.0,0.004819767836535198,0.00454823162039237,0.0,0.0
makefilepackage,289,0,0,282,7,0,0,0,0,0,0.0,0.0,0.9757785467128027,0.02422145328719723,0.0,0.0,0.0,0.0,0.0
setuptools,750,0,0,700,36,0,5,9,0,0,0.0,0.0,0.9333333333333333,0.048,0.0,0.006666666666666667,0.012,0.0,0.0
pythonpackage,724,2,0,712,10,0,0,0,0,0,0.0027624309392265192,0.0,0.9834254143646409,0.013812154696132596,0.0,0.0,0.0,0.0,0.0
perl,1117,1,1,1048,43,0,0,24,0,0,0.0008952551477170994,0.0008952551477170994,0.9382273948075202,0.03849597135183527,0.0,0.0,0.021486123545210387,0.0,0.0
dbi,39,0,0,39,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
perlpackage,226,0,0,220,6,0,0,0,0,0,0.0,0.0,0.9734513274336283,0.02654867256637168,0.0,0.0,0.0,0.0,0.0
openjpeg,61,0,0,42,0,0,0,19,0,0,0.0,0.0,0.6885245901639344,0.0,0.0,0.0,0.3114754098360656,0.0,0.0
cmakepackage,477,1,0,465,11,0,0,0,0,0,0.0020964360587002098,0.0,0.9748427672955975,0.023060796645702306,0.0,0.0,0.0,0.0,0.0
cmake,2641,2,6,1641,132,46,0,814,0,0,0.0007572889057175312,0.002271866717152594,0.6213555471412344,0.049981067777357065,0.01741764483150322,0.0,0.3082165846270352,0.0,0.0
r,7555,7,1,7128,135,1,7,272,0,4,0.0009265387160820648,0.00013236267372600927,0.943481138318994,0.01786896095301125,0.00013236267372600927,0.0009265387160820648,0.03600264725347452,0.0,0.0005294506949040371
rcpp,107,0,0,106,0,0,0,1,0,0,0.0,0.0,0.9906542056074766,0.0,0.0,0.0,0.009345794392523364,0.0,0.0
rpackage,743,0,0,740,3,0,0,0,0,0,0.0,0.0,0.9959623149394348,0.004037685060565276,0.0,0.0,0.0,0.0,0.0
docker,45,1,2,2,28,0,11,1,0,0,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.6222222222222222,0.0,0.24444444444444444,0.022222222222222223,0.0,0.0
name,7331,4,16,6694,195,2,38,373,1,8,0.0005456281544127677,0.0021825126176510706,0.9131087164097668,0.026599372527622425,0.00027281407720638383,0.005183467466921293,0.05087982539899059,0.00013640703860319192,0.0010912563088255353
in,14777,52,12,12833,937,16,55,856,6,10,0.003518982202070786,0.000812072815862489,0.8684442038302768,0.06340935237192935,0.0010827637544833187,0.003722000406036408,0.05792786086485755,0.0004060364079312445,0.0006767273465520742
need,626,0,1,428,123,0,11,63,0,0,0.0,0.001597444089456869,0.6837060702875399,0.1964856230031949,0.0,0.01757188498402556,0.10063897763578275,0.0,0.0
graphviz,81,0,0,80,0,0,1,0,0,0,0.0,0.0,0.9876543209876543,0.0,0.0,0.012345679012345678,0.0,0.0,0.0
to,12907,110,114,9640,1931,18,98,992,0,4,0.008522507166653754,0.008832416518168436,0.7468815371503835,0.14960873944371272,0.0013945920818160687,0.007592779112109708,0.07685751917564113,0.0,0.000309909351514682
builds,207,4,4,152,34,0,8,5,0,0,0.01932367149758454,0.01932367149758454,0.7342995169082126,0.1642512077294686,0.0,0.03864734299516908,0.024154589371980676,0.0,0.0
we,1811,10,3,1509,115,0,33,141,0,0,0.005521811154058531,0.0016565433462175593,0.8332413031474324,0.06350082827167311,0.0,0.018221976808393152,0.07785753727222529,0.0,0.0
use,2291,11,17,1654,333,8,12,255,0,1,0.004801396769969445,0.007420340462680052,0.7219554779572239,0.14535137494543868,0.003491924923614142,0.005237887385421213,0.11130510694020078,0.0,0.00043649061545176777
base,694,1,0,564,35,3,12,77,0,2,0.001440922190201729,0.0,0.8126801152737753,0.05043227665706052,0.004322766570605188,0.01729106628242075,0.11095100864553314,0.0,0.002881844380403458
core,445,4,0,333,33,0,0,75,0,0,0.008988764044943821,0.0,0.748314606741573,0.07415730337078652,0.0,0.0,0.16853932584269662,0.0,0.0
dev,210,4,0,141,3,0,19,43,0,0,0.01904761904761905,0.0,0.6714285714285714,0.014285714285714285,0.0,0.09047619047619047,0.20476190476190476,0.0,0.0
mac,185,2,0,89,3,0,0,91,0,0,0.010810810810810811,0.0,0.4810810810810811,0.016216216216216217,0.0,0.0,0.4918918918918919,0.0,0.0
homebrew,67,0,0,55,3,0,0,9,0,0,0.0,0.0,0.8208955223880597,0.04477611940298507,0.0,0.0,0.13432835820895522,0.0,0.0
update,583,1,0,546,13,0,6,16,0,1,0.0017152658662092624,0.0,0.9365351629502573,0.022298456260720412,0.0,0.010291595197255575,0.0274442538593482,0.0,0.0017152658662092624
ccache,41,0,3,26,7,0,0,5,0,0,0.0,0.07317073170731707,0.6341463414634146,0.17073170731707318,0.0,0.0,0.12195121951219512,0.0,0.0
needs,271,0,1,220,31,0,1,18,0,0,0.0,0.0036900369003690036,0.8118081180811808,0.11439114391143912,0.0,0.0036900369003690036,0.06642066420664207,0.0,0.0
be,4384,18,12,3482,566,3,18,285,0,0,0.004105839416058394,0.002737226277372263,0.7942518248175182,0.12910583941605838,0.0006843065693430657,0.004105839416058394,0.06500912408759124,0.0,0.0
cached,96,1,0,76,1,0,0,18,0,0,0.010416666666666666,0.0,0.7916666666666666,0.010416666666666666,0.0,0.0,0.1875,0.0,0.0
directly,127,1,2,101,17,0,2,4,0,0,0.007874015748031496,0.015748031496062992,0.7952755905511811,0.13385826771653545,0.0,0.015748031496062992,0.031496062992125984,0.0,0.0
as,3778,17,2,3008,349,21,9,370,0,2,0.004499735309687666,0.0005293806246691371,0.7961884595023823,0.09237691900476443,0.00555849655902594,0.002382212811011117,0.09793541556379036,0.0,0.0005293806246691371
travis,34,6,0,1,24,0,3,0,0,0,0.17647058823529413,0.0,0.029411764705882353,0.7058823529411765,0.0,0.08823529411764706,0.0,0.0,0.0
is,9665,29,15,8019,880,7,58,652,3,2,0.003000517330574237,0.0015519917227108122,0.8296947749612003,0.09105018106570098,0.0007242628039317124,0.006001034661148474,0.06745990688049663,0.00031039834454216247,0.00020693222969477495
care,43,0,0,31,5,0,0,7,0,0,0.0,0.0,0.7209302325581395,0.11627906976744186,0.0,0.0,0.16279069767441862,0.0,0.0
of,8433,66,20,6730,1003,10,36,565,3,0,0.007826396300249021,0.0023716352424997035,0.7980552591011503,0.11893750741136014,0.0011858176212498517,0.004268943436499467,0.06699869560061662,0.0003557452863749555,0.0
it,3204,15,14,2475,478,0,36,182,3,1,0.0046816479400749065,0.004369538077403246,0.7724719101123596,0.1491885143570537,0.0,0.011235955056179775,0.0568039950062422,0.0009363295880149813,0.00031210986267166043
possibly,45,0,0,37,5,0,1,2,0,0,0.0,0.0,0.8222222222222222,0.1111111111111111,0.0,0.022222222222222223,0.044444444444444446,0.0,0.0
because,286,0,0,232,34,0,3,17,0,0,0.0,0.0,0.8111888111888111,0.11888111888111888,0.0,0.01048951048951049,0.05944055944055944,0.0,0.0
c,19378,0,5,17057,104,40,10,2090,10,62,0.0,0.0002580245639384869,0.8802249974197544,0.0053669109299205285,0.0020641965115078954,0.0005160491278769739,0.10785426772628755,0.0005160491278769739,0.0031995045928372382
pip,45,2,0,17,15,1,10,0,0,0,0.044444444444444446,0.0,0.37777777777777777,0.3333333333333333,0.022222222222222223,0.2222222222222222,0.0,0.0,0.0
work,380,1,1,235,60,0,4,79,0,0,0.002631578947368421,0.002631578947368421,0.618421052631579,0.15789473684210525,0.0,0.010526315789473684,0.20789473684210527,0.0,0.0
around,118,1,0,92,8,0,1,16,0,0,0.00847457627118644,0.0,0.7796610169491526,0.06779661016949153,0.0,0.00847457627118644,0.13559322033898305,0.0,0.0
s,7945,10,8,7120,245,17,29,511,0,5,0.0012586532410320957,0.0010069225928256765,0.8961611076148521,0.030837004405286344,0.0021397105097545627,0.0036500943989930773,0.06431718061674009,0.0,0.0006293266205160479
support,1472,23,1,1293,72,1,3,78,0,1,0.015625,0.0006793478260869565,0.8783967391304348,0.04891304347826087,0.0006793478260869565,0.0020380434782608695,0.05298913043478261,0.0,0.0006793478260869565
then,627,0,1,266,67,0,112,181,0,0,0.0,0.001594896331738437,0.42424242424242425,0.10685805422647528,0.0,0.17862838915470494,0.2886762360446571,0.0,0.0
install,5594,13,13,4678,450,9,23,407,0,1,0.0023239184840900965,0.0023239184840900965,0.8362531283518055,0.08044333214158027,0.0016088666428316052,0.0041115480872363245,0.07275652484805148,0.0,0.0001787629603146228
source,2530,2,3,2252,52,2,23,196,0,0,0.0007905138339920949,0.0011857707509881424,0.8901185770750988,0.020553359683794466,0.0007905138339920949,0.00909090909090909,0.0774703557312253,0.0,0.0
activate,198,1,1,144,34,0,18,0,0,0,0.005050505050505051,0.005050505050505051,0.7272727272727273,0.1717171717171717,0.0,0.09090909090909091,0.0,0.0,0.0
m,1031,0,0,593,9,9,36,383,0,1,0.0,0.0,0.5751697381183317,0.008729388942774006,0.008729388942774006,0.03491755577109602,0.37148399612027155,0.0,0.0009699321047526673
g,954,4,15,643,57,12,3,220,0,0,0.0041928721174004195,0.015723270440251572,0.6740041928721174,0.059748427672955975,0.012578616352201259,0.0031446540880503146,0.23060796645702306,0.0,0.0
z,315,0,0,231,3,0,13,67,0,1,0.0,0.0,0.7333333333333333,0.009523809523809525,0.0,0.04126984126984127,0.2126984126984127,0.0,0.0031746031746031746
various,138,1,0,127,4,0,1,5,0,0,0.007246376811594203,0.0,0.9202898550724637,0.028985507246376812,0.0,0.007246376811594203,0.036231884057971016,0.0,0.0
